ID	Параметр	МФСО	Выбор	П5	ФормаПроизв	Compare
143	Параметр143	1	0	G143		
144	Параметр144	1	0	G144		G53
145	Параметр145	1	0	G145		
146	Параметр146	1	0	G146		
147	Параметр147	1	0	G147		G54
148	Параметр148	1	0	G148		
149	Параметр149	1	0	G149		
150	Параметр150	1	0	G150		G55
151	Параметр151	1	0	G151		
152	Параметр152	1	0	G152		
153	Параметр153	1	0	G153		G56
154	Параметр154	1	0	G154		
155	Параметр155	1	0	G155		
156	Параметр156	0	0	G156		G57
157	Параметр157	0	0	G157		
158	Параметр158	0	0	G158		
159	Параметр159	0	0	G159		G58
160	Параметр160	0	0	G160		
161	Параметр161	0	0	G161		
162	Параметр162	0	0	G162		G59
163	Параметр163	0	0	G163		
164	Параметр164	0	0	G164		
165	Параметр165	0	0	G165		G60
166	Параметр166	0	0	G166		
167	Параметр167	0	0	G167		
168	Параметр168	0	0	G168		
169	Параметр169	0	0	G169		
170	Параметр170	0	0	G170		
171	Параметр171	0	0	G171		
172	Параметр172	0	0	G172		
173	Параметр173	0	0	G173		
174	Параметр174	0	0	G174		
175	Параметр175	0	0	G175		
176	Параметр176	1	0	G176		
177	Параметр177	1	0	G177		
178	Параметр178	1	0	G178		
179	Параметр179	1	0	G179		
180	Параметр180	1	0	G180		
181	Параметр181	1	0	G181		
182	Параметр182	1	0	G182		
183	Параметр183	1	0	G183		
184	Параметр184	1	0	G184		
185	Параметр185	1	0	G185		
186	Параметр186	1	0	G186		
187	Параметр187	1	0	G187		
188	Параметр188	1	0	G188		
189	Параметр189	1	0	G189		
190	Параметр190	1	0	G190		
191	Параметр191	0	0	G191		
192	Параметр192	0	0	G192		
193	Параметр193	0	0	G193		
194	Параметр194	0	0	G194		
195	Параметр195	0	0	G195		
196	Параметр196	0	0	G196		
197	Параметр197	0	0	G197		
198	Параметр198	0	0	G198		
199	Параметр199	0	0	G199		
200	Параметр200	0	0	G200		
201	Параметр201	0	0	G201		
202	Параметр202	0	0	G202		
203	Параметр203	0	0	G203		
204	Параметр204	0	0	G204		
205	Параметр205	0	0	G205		
206	Параметр206	0	0	G206		
207	Параметр207	0	0	G207		
208	Параметр208	0	0	G208		
209	Параметр209	0	0	G209		
210	Параметр210	0	0	G210		
211	Параметр211	1	0	G211		
212	Параметр212	1	0	G212		
213	Параметр213	1	0	G213		
214	Параметр214	1	0	G214		
215	Параметр215	1	0	G215		
216	Параметр216	1	0	G216		
