ID	тЮИК	йМХЦЮ	яРПСЙРСПЮ	кХЯР	ьЮАКНМ	яЛЕЫЕМХЕцНД	цПСООЮ	нц	нОЖХЪ	дНКЪ
24	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test4.xlsb	test4.xlsx		Sheet3	реяр_ьюакнм		пХд	нц3	лЕЯР24	0,5
25	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test1.xlsx	test1.xlsx		Sheet1	реяр_ьюакнм		пХд	нц3	лЕЯР25	1
26	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test1.xlsx	test1.xlsx		Sheet2	реяр_ьюакнм		пХд	нц3	лЕЯР26	1
27	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test1.xlsx	test1.xlsx		Sheet3	реяр_ьюакнм		пХд	нц3	лЕЯР27	1
28	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test2.xlsm	test2.xlsx		Sheet1	реяр_ьюакнм		пХд	нц4	лЕЯР28	0,5
29	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test2.xlsm	test2.xlsx		Sheet2	реяр_ьюакнм		пХд	нц4	лЕЯР29	0,5
30	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test2.xlsm	test2.xlsx		Sheet3	реяр_ьюакнм		пХд	нц4	лЕЯР30	0,5
31	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test3.xls	test3.xlsx		Sheet1	реяр_ьюакнм		пХд	нц4	лЕЯР31	1
32	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test3.xls	test3.xlsx		Sheet2	реяр_ьюакнм		пХд	нц4	лЕЯР32	1
33	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test3.xls	test3.xlsx		Sheet3	реяр_ьюакнм		пХд	нц4	лЕЯР33	1
34	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test4.xlsb	test4.xlsx		Sheet1	реяр_ьюакнм		пХд	нц4	лЕЯР34	0,5
35	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test4.xlsb	test4.xlsx		Sheet2	реяр_ьюакнм		пХд	нц4	лЕЯР35	0,5
36	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder3\test4.xlsb	test4.xlsx		Sheet3	реяр_ьюакнм		пХд	нц4	лЕЯР36	0,5
